id,title,num_subscribers,avg_rating,num_reviews,num_lectures,num_practice_tests,year,price_amount,discount_amount,currency
563066,Shell Scripting: Discover How to Automate Command Line Tasks,13785,4.387,494,48,0,2015,304.0,22.75,SR
1277924,Angular Front To Back,13785,4.57407,494,73,0,2017,432.0,22.75,SR
752950,GitHub Ultimate: Master Git and GitHub - Beginner to Expert,13785,4.36161,494,147,0,2016,320.0,22.75,SR
519554,Teach Your Kids to Code: Learn Python Programming at Any Age,13785,4.52348,494,112,0,2015,96.0,22.75,SR
1362052,AWS CloudFormation Master Class,13785,4.68567,494,70,0,2017,416.0,22.75,SR
1419182,SQL for Beginners: Learn SQL using MySQL and Database Design,13785,4.40902,494,122,0,2017,320.0,22.75,SR
555100,iOS 9 and Swift 2: From Beginner to Paid Professional™,13785,4.4,494,147,0,2015,144.0,22.75,SR
2058283,NLP - Natural Language Processing with Python,13785,4.5858,494,80,0,2018,432.0,22.75,SR
821986,Complete Java SE 8 Developer Bootcamp - OCA Prep Included,13785,4.48497,494,147,0,2016,320.0,22.75,SR
1310772,Scala & Functional Programming for Beginners | Rock the JVM,13785,4.58739,494,50,0,2017,96.0,22.75,SR
919038,The Complete Python Masterclass: Learn Python From Scratch,13785,4.36462,494,147,0,2016,432.0,22.75,SR
405818,Javascript for Beginners Learn by Doing Practical Exercises,13785,4.44498,494,30,0,2015,320.0,22.75,SR
1512962,"Angular (Full App) with Angular Material, Angularfire & NgRx",13785,4.6223,494,140,0,2018,432.0,22.75,SR
1650610,The Complete Junior to Senior Web Developer Roadmap (2020),13785,4.70915,494,147,0,2018,576.0,22.75,SR
526104,Robot Framework Test Automation - Level 1 ( Selenium ),13785,4.44183,494,77,0,2015,432.0,22.75,SR
2022294,"Jenkins, From Zero To Hero: Become a DevOps Jenkins Master",13785,4.41499,494,147,0,2018,384.0,22.75,SR
2395488,React Front To Back,13785,4.69223,494,91,0,2019,384.0,22.75,SR
958532,Bash Scripting and Shell Programming (Linux Command Line),13785,4.43647,494,34,0,2016,432.0,22.75,SR
821312,Complete Step By Step Java For Testers,13785,4.41489,494,52,0,2016,320.0,22.75,SR
1299656,GCP: Complete Google Data Engineer and Cloud Architect Guide,13785,4.38462,494,147,0,2017,320.0,22.75,SR
660600,Unreal Engine 4: The Complete Beginner's Course,13785,4.38571,494,79,0,2015,432.0,22.75,SR
904462,The Complete Elixir and Phoenix Bootcamp,13785,4.5249,494,147,0,2016,160.0,22.75,SR
748852,Informatica Tutorial: Beginner to Expert Level,13785,4.23692,494,147,0,2016,432.0,22.75,SR
548278,The Complete 2020 Web Development Course - Build 15 Projects,13785,4.52249,494,147,0,2015,576.0,22.75,SR
1002030,Web Development w/ Google’s Go (golang) Programming Language,13785,4.59753,494,147,0,2017,208.0,22.75,SR
1587718,Node JS: Advanced Concepts,13785,4.65296,494,147,0,2018,384.0,22.75,SR
1357844,"Deep Learning and Computer Vision A-Z™: OpenCV, SSD & GANs",13785,4.39296,494,85,0,2017,432.0,22.75,SR
670034,Advanced Javascript,13785,4.48578,494,47,0,2015,160.0,22.75,SR
2634490,The Modern Javascript Bootcamp Course (2020),13785,4.71535,494,147,0,2019,432.0,22.75,SR
949766,The Complete Python 3 Course: Go from Beginner to Advanced!,13785,4.10776,494,73,0,2016,432.0,22.75,SR
1334868,Unreal Engine 4 Mastery: Create Multiplayer Games with C++,13785,4.4797,494,147,0,2017,448.0,22.75,SR
860812,JavaScript Beginner Bootcamp (2020),13785,4.56114,494,147,0,2016,432.0,22.75,SR
980770,Unity Game Development Build 2D & 3D Games,13785,4.22535,494,116,0,2016,432.0,22.75,SR
1245870,Complete Elasticsearch Masterclass with Logstash and Kibana,13785,4.47476,494,26,0,2017,432.0,22.75,SR
2779762,"CI/CD(Continuous Integration/Delivery , DevOps for Beginners",13785,4.4728,494,12,0,2020,320.0,22.75,SR
1132057,Java Spring Tutorial Masterclass - Learn Spring Framework 5,13785,4.53654,494,147,0,2017,320.0,22.75,SR
2511476,Complete Machine Learning and Data Science: Zero to Mastery,13785,4.64862,494,147,0,2020,432.0,22.75,SR
1562632,Django 2.2 & Python | The Ultimate Web Development Bootcamp,13785,4.51329,494,78,0,2018,432.0,22.75,SR
1039062,Webpack 2: The Complete Developer's Guide,13785,4.6,494,56,0,2017,240.0,22.75,SR
456460,Master Software Testing+Jira+Agile on Live App-Be a TeamLead,13785,4.45654,494,78,0,2015,432.0,22.75,SR
